X,Y,OBJECTID,REC_SITE_CN,REC_SITE_ID,REV_DATE,DATA_SOURCE,ACCURACY,TYPE,NAME,DATA_SOURCE_MEMO,METHOD,CFF,FOREST,PUB_DATE,CRC,GlobalID
-110.805794038843,34.3463247895773,1,34882010602,45600,2018/10/18 00:00:00+00,20,,TRAILHEAD,Joe Springs Trail OHV Access,,08,,APS,2019/07/31 11:37:09+00,663B06EDBD8B94DB,8e9505c0-ef32-424b-978b-0adeafcbb33d
-110.804708951672,34.3448857938233,2,,,2005/11/17 00:00:00+00,20,,TRAILHEAD,Joe Springs Drive OHV Access,,08,,APS,2019/07/31 11:37:09+00,483AEB9E03FFB03E,499034cc-2156-4726-845a-580ba6fbac99
-110.072223202302,34.2747462100746,3,5526.001931,47212,2002/06/15 00:00:00+00,20,,BOATING SITE,Fool Hollow East Boat Launch,,08,,APS,2019/07/31 11:37:09+00,56F550E6257CB7E6,a7cc76d5-df10-4b34-9a81-1a8712aecd0a
-110.243030762908,34.2825779589781,4,19239010437,47214,2014/01/02 00:00:00+00,30,,Trailhead,Juniper Ridge #2 Trailhead,2008 AS aerial photo,08,,APS,2019/07/31 11:37:09+00,FAA336B984B6BD52,d3c6b43b-ca4d-41ed-b1cf-ef567c76914b
-110.242512420063,34.2835167353411,5,5247.001931,47189,2014/01/02 00:00:00+00,30,,GROUP CAMPGROUND,Lewis Canyon Group Campground,2008 AS aerial photo,08,,APS,2019/07/31 11:37:09+00,F564520682721925,58109214-fc43-43a1-a347-24bcdd574f01
-110.871137154722,34.2934692372228,6,24854010437,45373,2013/12/19 00:00:00+00,20,,CAMPING AREA,FR 171,,08,,APS,2019/07/31 11:37:09+00,1B2A5F8C80B63822,90143624-744f-4f58-9ec3-3755b9a415bc
-110.895244945991,34.2958821009168,7,5486.001931,46665,2002/06/15 00:00:00+00,20,,DAY USE AREA,Al Fulton Picnic Area,,08,,APS,2019/07/31 11:37:09+00,D67A783821323E21,1f443161-6748-4754-9389-a8beb57ce250
-110.232107316972,34.2979181571355,8,5411.001931,47203,2014/01/02 00:00:00+00,30,,Trailhead,Juniper Ridge #1 Trailhead,2008 AS aerial photo,08,,APS,2019/07/31 11:37:09+00,A75F8B166F3746D6,21900116-5c4a-4c35-b232-11794b4d93df
-110.895486235889,34.3016456457129,9,24741010437,46679,2002/06/15 00:00:00+00,20,,TRAILHEAD,General Crook Trailhead,,08,,APS,2019/07/31 11:37:09+00,7B66A02CECD80EAC,e02e77f4-0720-4371-a881-94692fabc5fe
-110.713581463674,34.301522656483,10,26072010437,46656,2002/06/15 00:00:00+00,20,,DAY USE AREA,Gentry Lookout,,08,,APS,2019/07/31 11:37:09+00,E2F753AEAD31E892,08970604-b28d-4e09-b718-261c470b7276
-110.712912275495,34.3015774462694,11,5220.001931,46653,2002/06/15 00:00:00+00,01,,CAMPGROUND,Gentry Campground,,01,,APS,2019/07/31 11:37:09+00,0052052FF9F75C9D,de62d25b-940d-4565-a491-ecf5ff376aff
-110.896149623062,34.3023611217648,12,5361.001931,46659,2002/06/15 00:00:00+00,20,,INTERPRETIVE SITE,Mogollon Rim Visitor Center,,08,,APS,2019/07/31 11:37:09+00,19EE579877F5C8D1,e6dcfa80-ce60-4227-aa1c-110b8988bd6b
-110.158541636393,34.300253523825,13,5416.001931,47208,2014/01/02 00:00:00+00,30,,Trailhead,Ghost of the Coyote Trailhead,2008 AS aerial photo,08,,APS,2019/07/31 11:37:09+00,201A6191E08FCCAA,df0bf6c2-ea35-4aad-b232-4658f99bebc2
-110.858316976346,34.3035967606907,14,19856010437,45590,2002/06/15 00:00:00+00,20,,TRAILHEAD,Horse Trap Trailhead,,08,,APS,2019/07/31 11:37:09+00,5A4A4DCA99FEB553,3dd78353-d72f-4cfc-a180-82c420688777
-110.744040740197,34.3049407766145,15,5218.001931,46651,2002/06/15 00:00:00+00,01,,CAMPGROUND,Black Canyon Rim Campground,,01,,APS,2019/07/31 11:37:09+00,5030D78BBC7162EC,684c48e5-48a4-447c-a092-7ad49657ea7a
-110.897804566081,34.3054928968815,16,5488.001931,46667,2002/06/15 00:00:00+00,01,,TRAILHEAD,Rim Top Trailhead,,01,,APS,2019/07/31 11:37:09+00,B88E470687DA35F4,51ae9d69-5c50-46a3-9e04-95f5b870a317
-110.908979347109,34.3056319365106,17,5222.001931,46655,2002/06/15 00:00:00+00,01,,CAMPGROUND,Rim Campground,,01,,APS,2019/07/31 11:37:09+00,369098A77D3F1517,31d36ebe-2d46-4cef-874f-e54852447aad
